player_id,year,team_id,game_id,league_id,level_id,split_id,ip,ab,tb,ha,k,bf,rs,bb,r,er,gb,fb,pi,ipf,g,gs,w,l,s,sa,da,sh,sf,ta,hra,bk,ci,iw,wp,hp,gf,dp,qs,svo,bs,ra,cg,sho,sb,cs,hld,ir,irs,wpa,li,stint,outs,sd,md,war,ra9war
42,2016,12,0,200,1,1,66,241,0,47,73,284,0,35,32,31,54,67,1142,1,67,0,6,8,41,31,7,2,1,0,9,0,0,2,0,5,57,5,0,47,6,67,0,0,3,0,1,2,0,0.7307,658.0,0,199,38,13,-0.1186,0.3732
42,2016,12,0,200,1,3,66,241,0,47,73,284,0,35,32,31,54,67,0,1,67,0,0,0,0,31,7,2,1,0,9,0,0,2,0,5,0,5,0,0,0,67,0,0,0,0,0,2,0,0.0,658.0,0,199,0,0,0.0,0.0
42,2017,12,0,200,1,1,61,221,0,41,59,243,0,22,16,16,60,60,942,2,60,0,4,7,39,27,9,0,0,2,3,0,0,4,1,0,57,4,0,40,1,60,0,0,2,1,0,4,2,2.2682,448.9999,0,185,28,6,1.7491,2.4341
42,2017,12,0,200,1,3,61,221,0,41,59,243,0,22,16,16,60,60,0,2,60,0,0,0,0,27,9,0,0,2,3,0,0,4,1,0,0,4,0,0,0,60,0,0,0,0,0,4,2,0.0,448.9999,0,185,0,0,0.0,0.0
42,2018,12,0,200,1,1,61,234,0,53,67,257,0,21,28,28,51,61,1024,2,64,0,4,6,41,31,9,0,1,2,11,0,0,1,1,1,59,4,0,47,6,64,0,0,1,1,2,6,4,-0.1264,498.3999,0,185,30,10,0.0115,0.6553
42,2018,12,0,200,1,3,61,234,0,53,67,257,0,21,28,28,51,61,0,2,64,0,0,0,0,31,9,0,1,2,11,0,0,1,1,1,0,4,0,0,0,64,0,0,0,0,0,6,4,0.0,498.3999,0,185,0,0,0.0,0.0
42,2019,12,0,200,1,1,59,222,0,49,68,257,0,33,22,20,52,49,1064,1,61,0,6,5,39,33,8,1,0,0,8,1,0,3,1,1,53,7,0,42,3,61,0,0,1,1,3,12,1,1.2423,597.4999,0,178,33,11,0.1789,1.5178
42,2019,12,0,200,1,3,59,222,0,49,68,257,0,33,22,20,52,49,0,1,61,0,0,0,0,33,8,1,0,0,8,1,0,3,1,1,0,7,0,0,0,61,0,0,0,0,0,12,1,0.0,597.4999,0,178,0,0,0.0,0.0
42,2020,12,0,200,1,1,57,223,0,55,60,253,0,22,29,28,53,56,942,1,61,0,1,7,37,36,14,1,3,1,4,0,0,3,4,4,56,4,0,43,6,61,0,0,2,0,1,6,3,-0.8633,533.2,0,172,28,10,1.2976,0.1073
42,2020,12,0,200,1,3,57,223,0,55,60,253,0,22,29,28,53,56,0,1,61,0,0,0,0,36,14,1,3,1,4,0,0,3,4,4,0,4,0,0,0,61,0,0,0,0,0,6,3,0.0,533.2,0,172,0,0,0.0,0.0
42,2021,12,0,200,1,1,56,209,0,43,55,235,0,23,18,17,45,65,927,2,55,0,3,7,32,27,13,0,1,0,3,0,0,3,2,2,54,2,0,36,4,55,0,0,2,1,1,7,1,0.7916,524.3999,0,170,26,10,1.431,1.9434
42,2021,12,0,200,1,3,56,209,0,43,55,235,0,23,18,17,45,65,0,2,55,0,0,0,0,27,13,0,1,0,3,0,0,3,2,2,0,2,0,0,0,55,0,0,0,0,0,7,1,0.0,524.3999,0,170,0,0,0.0,0.0
42,2022,12,0,200,1,1,67,263,0,71,83,311,0,41,33,31,55,54,1227,0,71,0,6,7,39,52,12,2,2,0,7,0,0,6,2,3,61,7,0,47,8,71,0,0,3,0,2,6,4,0.0945,747.4999,0,201,36,15,0.8634,0.2131
42,2022,12,0,200,1,3,67,263,0,71,83,311,0,41,33,31,55,54,0,0,71,0,0,0,0,52,12,2,2,0,7,0,0,6,2,3,0,7,0,0,0,71,0,0,0,0,0,6,4,0.0,747.4999,0,201,0,0,0.0,0.0
42,2023,12,0,200,1,1,68,246,0,48,71,283,0,29,27,27,64,66,1142,2,68,0,4,4,42,33,9,0,3,0,6,1,0,2,1,5,56,4,0,48,6,68,0,0,0,1,3,10,0,2.2585,661.6001,0,206,38,11,1.0541,1.65
42,2023,12,0,200,1,3,68,246,0,48,71,283,0,29,27,27,64,66,0,2,68,0,0,0,0,33,9,0,3,0,6,1,0,2,1,5,0,4,0,0,0,68,0,0,0,0,0,10,0,0.0,661.6001,0,206,0,0,0.0,0.0
42,2024,12,0,200,1,1,60,226,0,46,65,253,0,22,19,18,50,60,957,1,60,0,2,4,37,31,7,1,0,2,6,0,0,1,2,4,55,4,0,41,4,60,0,0,1,1,0,14,3,1.378,460.5999,0,181,22,6,0.8604,1.8124
