player_id,year,team_id,game_id,league_id,level_id,split_id,position,ab,h,k,pa,pitches_seen,g,gs,d,t,hr,r,rbi,sb,cs,bb,ibb,gdp,sh,sf,hp,ci,wpa,stint,ubr,war
1,2016,7,0,200,1,1,0,616,118,265,690,3043,162,162,21,1,26,67,74,5,2,66,0,10,0,2,6,0,-2.4777,0,0.1919,-1.1825
1,2016,7,0,200,1,3,0,616,118,265,690,0,162,162,21,1,26,67,74,0,0,66,0,10,0,2,6,0,0.0,0,0.0,0.0
1,2017,7,0,200,1,1,0,632,121,277,697,3051,162,162,27,1,19,66,59,1,1,58,0,12,0,3,4,0,-2.5861,0,0.6376,-2.4142
1,2017,7,0,200,1,3,0,632,121,277,697,0,162,162,27,1,19,66,59,0,0,58,0,12,0,3,4,0,0.0,0,0.0,0.0
1,2018,7,0,200,1,1,0,607,115,261,693,2971,162,162,25,1,20,64,65,2,1,68,0,12,2,5,11,0,-2.252,0,-0.2699,-1.6863
1,2018,7,0,200,1,3,0,607,115,261,693,0,162,162,25,1,20,64,65,0,0,68,0,12,2,5,11,0,0.0,0,0.0,0.0
1,2019,7,0,200,1,1,0,614,121,238,687,2959,162,162,25,2,28,81,71,5,2,60,0,11,2,3,8,0,-0.6586,0,-2.9343,-1.2479
1,2019,7,0,200,1,3,0,614,121,238,687,0,162,162,25,2,28,81,71,0,0,60,0,11,2,3,8,0,0.0,0,0.0,0.0
1,2020,7,0,200,1,1,0,635,113,248,704,2993,162,162,38,1,14,64,55,1,1,60,0,14,0,4,5,0,-3.3546,0,0.2413,-3.0891
1,2020,7,0,200,1,3,0,635,113,248,704,0,162,162,38,1,14,64,55,0,0,60,0,14,0,4,5,0,0.0,0,0.0,0.0
1,2021,7,0,200,1,1,0,613,115,271,687,3010,162,162,32,0,20,61,66,2,1,61,0,13,0,6,7,0,-1.3026,0,0.091,-1.889
1,2021,7,0,200,1,3,0,613,115,271,687,0,162,162,32,0,20,61,66,0,0,61,0,13,0,6,7,0,0.0,0,0.0,0.0
1,2022,7,0,200,1,1,0,616,115,276,692,3016,162,162,23,2,23,71,58,1,1,66,0,15,0,1,9,0,-2.0237,0,1.518,-1.4777
1,2022,7,0,200,1,3,0,616,115,276,692,0,162,162,23,2,23,71,58,0,0,66,0,15,0,1,9,0,0.0,0,0.0,0.0
1,2023,7,0,200,1,1,0,613,127,267,692,2986,162,162,28,0,21,81,54,1,3,68,0,17,0,2,9,0,-1.6924,0,-1.0453,-0.8454
1,2023,7,0,200,1,3,0,613,127,267,692,0,162,162,28,0,21,81,54,0,0,68,0,17,0,2,9,0,0.0,0,0.0,0.0
1,2024,7,0,200,1,1,0,624,114,265,696,2958,162,162,27,0,31,83,71,1,3,60,0,16,0,3,9,0,-3.619,0,-0.7028,-1.5
1,2024,7,0,200,1,3,0,624,114,265,696,0,162,162,27,0,31,83,71,0,0,60,0,16,0,3,9,0,0.0,0,0.0,0.0
1,2025,7,0,200,1,1,0,625,129,259,702,3057,162,162,22,0,29,78,75,3,2,68,0,18,1,3,4,1,-1.9676,0,-0.709,-0.6857
