ID,Name,ORG,G,GS,W,L,IP,BF,AB,HA,1B,2B,3B,HR,R,ER,BB,IBB,K,HP,SH,SF,WP,BK,CI,DP,IR,IRS,PI,GB,FB,SB,CS,IP Clean
61344,Ben Berryman,New York Yankees,39,1,6,0,74.1,300,268,53,38,10,0,5,23,23,22,1,59,9,0,1,2,0,0,8,29,5,1131,69,87,9,0,74.33333333333331
53555,Nate Shumaker,Cleveland Guardians,35,2,2,2,67.0,299,271,71,44,14,1,12,39,32,24,1,53,2,1,1,0,0,0,6,27,14,1091,74,67,8,0,67.0
57883,Victor Rojas,Atlanta Braves,27,7,5,3,70.0,298,272,69,50,4,1,14,37,34,23,0,58,2,1,0,4,0,0,6,12,2,1113,61,82,6,1,70.0
57830,Kory Valiante,Kansas City Royals,53,0,4,2,69.1,296,257,61,40,13,1,7,24,23,32,2,68,5,2,0,4,0,0,5,38,12,1114,54,73,4,4,69.33333333333331
46203,Bob Maish,Minnesota Twins,55,0,2,2,65.1,293,252,71,47,13,2,9,41,41,37,0,62,3,0,1,3,0,0,8,46,14,1193,64,54,5,6,65.33333333333331
58055,Jonathan Clark,Portland Loggers,13,13,3,3,67.1,290,251,61,42,12,1,6,35,35,36,0,63,3,0,0,2,0,0,5,0,0,1187,48,78,2,4,67.33333333333331
59027,Jeremy McClary,New York Yankees,37,0,2,2,66.0,290,246,67,38,20,1,8,36,35,39,1,57,2,0,3,1,0,0,11,35,10,1123,63,62,2,2,66.0
62166,Luis Mendez,Atlanta Braves,63,0,6,6,67.0,290,257,68,44,16,3,5,32,27,31,1,75,1,0,1,3,0,0,6,44,9,1114,56,58,3,1,67.0
58665,Kurt Carroll,Chicago Cubs,41,8,5,3,72.0,286,257,51,31,11,1,8,29,28,24,1,61,3,0,2,0,1,0,9,20,3,1097,68,77,4,0,72.0
64198,Chris Whitby,Chicago Cubs,59,0,2,5,65.1,286,260,72,50,12,2,8,43,39,21,0,56,3,1,1,6,0,0,9,38,5,1098,54,75,8,1,65.33333333333331
65548,Jose Arenas,Portland Loggers,47,0,3,9,64.0,285,251,66,47,7,0,12,31,27,26,2,71,5,0,3,1,2,0,5,37,12,1084,52,61,1,1,64.0
60200,Kurt Huddy,Portland Loggers,52,0,10,2,68.0,285,242,50,36,8,0,6,21,21,34,2,84,5,1,3,3,0,0,7,47,10,1150,62,49,5,1,68.0
58699,Billy Connolly,San Diego Padres,39,0,4,3,67.0,284,262,66,48,10,0,8,33,33,21,1,64,1,0,0,5,1,0,5,34,9,1075,65,65,11,2,67.0
56679,JuJuan Oaks,Seattle Mariners,66,0,7,8,67.2,284,239,42,27,5,1,9,20,20,42,1,93,3,0,0,1,0,0,6,6,0,1122,46,57,1,1,67.66666666666667
61616,Dave Alexandrou,San Francisco Giants,57,0,1,4,67.2,283,257,61,43,11,0,7,29,28,24,2,87,1,0,1,1,1,0,4,35,5,1123,49,57,0,3,67.66666666666667
60072,Bob Inman,Washington Nationals,41,0,4,0,64.2,283,263,74,48,12,4,10,35,32,15,0,71,2,0,3,1,0,0,4,35,13,1082,48,69,2,2,64.66666666666667
63401,Micah Olson,Seattle Mariners,47,0,5,5,60.2,283,234,55,33,10,1,11,43,36,41,0,66,7,0,1,1,0,0,7,28,7,1111,40,66,4,0,60.66666666666668
51213,Ernie Williams,Toronto Blue Jays,67,7,3,5,63.2,282,254,66,39,15,1,11,41,39,24,2,67,2,0,2,1,0,0,7,38,4,1158,55,61,5,0,63.66666666666668
45609,Jon Horsey,Toronto Blue Jays,47,0,1,1,63.0,279,248,64,30,16,2,16,42,40,27,2,61,3,0,1,2,0,0,4,39,14,1117,59,62,4,2,63.0
67014,Nate Parker,Cleveland Guardians,11,11,3,4,64.1,279,234,56,37,13,0,6,39,39,39,0,46,4,0,2,6,1,0,7,0,0,1090,52,80,6,5,64.33333333333331
64426,Daylan Pindel,Philadelphia Phillies,28,0,1,1,63.2,277,248,68,48,13,0,7,30,30,22,1,60,1,0,6,3,0,0,5,30,14,1039,52,71,3,1,63.66666666666668
62548,Kevin Bennett,Los Angeles Dodgers,38,0,4,4,61.2,275,236,61,45,9,1,6,31,25,36,4,62,2,1,0,3,1,0,9,32,12,1061,52,59,1,1,61.66666666666668
56663,Brad Collom,St. Louis Cardinals,23,7,4,4,66.1,273,245,54,33,11,3,7,18,18,24,1,62,3,1,0,3,0,0,3,16,1,1053,46,83,7,2,66.33333333333331
53934,Josh Wood,Texas Rangers,22,5,7,1,62.2,273,250,66,48,11,2,5,38,36,19,0,58,0,0,4,2,0,0,1,12,4,1013,51,75,4,2,62.66666666666668
63141,Daniel Zapata,Milwaukee Brewers,60,0,4,7,64.0,272,248,55,36,10,1,8,27,23,20,0,104,3,1,0,0,0,0,4,14,1,1079,45,40,2,1,64.0
65557,Kevin Suarez,Chicago White Sox,56,0,5,2,58.1,269,230,68,48,13,0,7,37,37,33,1,46,1,0,5,0,0,0,7,37,13,988,56,64,3,0,58.333333333333336
60561,Jon Garlinghouse,San Francisco Giants,59,0,4,4,61.2,268,235,60,44,12,0,4,28,27,26,2,73,4,0,3,1,1,0,3,41,15,1006,31,73,3,0,61.66666666666668
67029,Harlan Roberge,New York Mets,10,10,4,4,61.2,267,236,63,39,11,1,12,38,36,27,0,58,2,1,1,3,0,0,8,0,0,1051,61,54,2,4,61.66666666666668
61593,Joe Herbster,Milwaukee Brewers,42,0,3,0,57.2,266,223,56,35,20,0,1,32,28,32,1,60,7,1,3,5,0,0,2,35,12,1024,46,61,5,1,57.66666666666668
65701,Chris Thornton,Chicago White Sox,42,1,4,2,60.2,266,244,66,40,12,2,12,27,25,20,2,57,0,0,2,0,1,0,5,36,11,996,43,75,0,0,60.66666666666668
64098,Mike Vaughan,Houston Astros,67,0,9,4,62.1,266,226,51,32,5,3,11,26,26,34,1,70,2,1,3,1,0,0,6,21,8,1057,49,58,2,2,62.333333333333336
60916,Dong-hwan Choi,Washington Nationals,39,0,1,4,61.2,265,243,72,49,13,1,9,36,36,17,0,75,2,0,3,4,1,0,5,34,11,1040,40,59,0,0,61.66666666666668
67050,Eric Pflueger,Seattle Mariners,36,1,1,1,60.0,265,234,69,47,11,1,10,40,39,22,0,51,7,0,2,5,0,0,9,27,11,941,59,55,3,2,60.0
59931,Yok-sing Law,Atlanta Braves,65,0,6,7,62.0,259,237,53,38,11,2,2,18,15,19,2,75,2,0,0,1,0,1,4,16,4,1028,48,57,2,1,62.0
55546,Chuck Anthony,Boston Red Sox,44,0,0,3,58.2,255,215,48,24,19,0,5,27,26,36,4,58,1,0,3,2,0,0,2,38,9,986,50,61,9,2,58.66666666666668
65558,Kurt Love,Toronto Blue Jays,54,0,6,3,59.0,255,223,59,36,12,1,10,28,28,29,1,70,0,1,2,2,0,0,8,46,21,1006,49,46,3,3,59.0
46998,Jimmy Merritt,Chicago Cubs,60,0,3,3,62.1,254,234,55,34,12,2,7,21,21,16,1,59,1,0,3,4,0,0,7,27,10,961,50,69,9,1,62.333333333333336
68456,Jose Valdez,Cincinnati Reds,42,0,2,1,56.0,253,215,58,39,10,0,9,28,26,33,0,50,3,1,1,7,0,0,8,42,10,1026,52,56,4,1,56.0
60459,Ricky Lopez,New York Mets,52,0,1,1,62.1,251,227,46,34,6,0,6,20,20,20,4,77,2,2,0,2,0,0,5,38,8,946,55,48,1,1,62.333333333333336
64526,Jon Mastropaolo,Cincinnati Reds,61,0,5,4,60.1,251,231,58,35,13,2,8,25,24,17,3,57,1,0,2,2,0,0,6,50,14,965,54,62,3,0,60.333333333333336
44548,Jeremy Banks,Philadelphia Phillies,28,0,2,0,58.0,249,216,49,31,12,0,6,21,19,30,0,36,3,0,0,0,0,0,10,19,8,931,64,64,5,0,58.0
64254,Tony Sanchez,Tampa Bay Rays,59,1,5,6,58.0,249,226,54,36,14,0,4,29,27,19,0,72,4,0,0,2,1,0,2,33,8,989,48,50,4,1,58.0
65527,Chris Santillo,Los Angeles Angels,64,0,1,5,55.2,249,216,61,38,12,0,11,35,31,23,0,59,5,2,3,1,0,0,10,51,13,955,57,41,8,0,55.66666666666668
64276,Jonathan Zelensky,Tampa Bay Rays,60,0,4,5,59.1,248,225,51,29,15,2,5,16,14,20,1,69,2,0,1,1,1,0,4,20,4,968,41,63,5,1,59.333333333333336
61353,Eddie Young,New York Mets,16,8,3,3,60.0,246,221,54,38,11,0,5,30,25,18,1,59,5,0,2,1,0,0,10,5,1,965,52,54,8,2,60.0
58597,Pat Harris,Boston Red Sox,66,0,2,8,58.2,245,221,50,26,15,0,9,31,27,23,6,64,1,0,0,0,0,0,6,32,8,963,43,59,4,2,58.66666666666668
65263,Luis Escalona,Los Angeles Dodgers,63,0,3,3,56.2,242,216,54,36,9,1,8,23,23,25,3,68,0,0,1,3,0,0,6,39,12,988,45,49,5,2,56.66666666666668
63045,Devon Gatewood,New York Mets,44,0,3,4,56.2,242,218,53,38,11,2,2,21,17,21,2,41,0,0,3,3,0,0,7,29,5,867,63,57,2,2,56.66666666666668
24052,Pete Martin,Milwaukee Brewers,36,0,4,3,59.0,241,218,49,28,13,1,7,26,26,18,2,53,2,0,3,1,0,0,3,8,1,894,45,72,4,0,59.0
64075,Eric Irvin,San Francisco Giants,56,0,3,6,56.2,240,212,47,26,13,3,5,27,25,27,3,71,1,0,0,1,0,0,4,27,7,949,37,57,4,0,56.66666666666668
59151,Jeff Kerr,Baltimore Orioles,40,0,6,2,58.0,238,223,52,23,18,2,9,26,24,13,1,70,1,0,1,1,0,0,2,35,10,929,38,62,1,1,58.0
59085,Chris Simington,Texas Rangers,54,0,5,3,59.1,237,219,49,30,11,0,8,20,18,13,1,55,2,1,2,0,1,0,3,48,12,937,51,67,4,0,59.333333333333336
61431,Tony Rojas,Colorado Rockies,34,0,2,2,45.1,236,190,61,37,15,1,8,53,52,34,0,55,10,0,2,3,0,0,3,28,5,893,35,40,7,1,45.333333333333336
67061,Robbie Cerqua,San Diego Padres,50,0,3,4,53.1,235,210,59,41,13,1,4,35,31,17,1,43,8,0,0,0,1,0,8,51,24,864,41,64,6,0,53.333333333333336
60143,Chad Shaw,Kansas City Royals,46,0,5,4,51.0,235,196,49,30,12,2,5,28,25,37,1,68,1,0,1,1,0,0,5,25,13,908,36,43,3,0,51.0
61563,Chris Little,San Diego Padres,54,0,4,4,50.2,233,196,44,25,11,0,8,34,29,35,1,59,1,1,0,1,0,0,3,15,4,941,32,58,3,0,50.66666666666668
55084,Danny Weisbart,Houston Astros,44,0,6,2,49.2,233,207,65,33,18,4,10,40,39,22,1,55,0,1,3,3,0,0,2,30,17,925,39,51,7,3,49.66666666666668
64051,Greg Helmberger,Toronto Blue Jays,57,0,2,7,51.1,232,191,41,25,5,0,11,29,25,35,4,66,3,0,2,1,0,1,7,10,4,925,32,50,1,0,51.333333333333336
60621,Jake Mandeville,Baltimore Orioles,25,0,0,0,55.1,232,212,48,34,8,0,6,17,16,19,0,61,0,0,1,0,1,0,3,20,6,924,44,55,3,2,55.333333333333336
47152,Tony Gomez,Tampa Bay Rays,31,0,0,4,53.0,231,209,54,34,6,0,14,34,30,19,0,61,1,0,2,0,1,0,4,19,7,906,36,56,2,1,53.0
61672,Ricky Contreras,Atlanta Braves,39,0,2,0,52.1,230,207,56,37,10,0,9,32,32,18,0,36,3,0,2,3,0,0,2,26,8,854,52,63,2,1,52.333333333333336
60769,Marvin Bautista,Tampa Bay Rays,51,1,3,2,55.0,229,209,48,20,15,2,11,27,27,13,0,62,5,1,1,2,0,0,3,31,9,857,51,49,4,1,55.0
55001,Tony Lamar,Cleveland Guardians,33,0,2,2,48.2,229,195,57,41,7,1,8,36,34,29,0,48,3,0,2,7,0,0,4,17,7,923,39,53,7,2,48.66666666666668
49179,Eitan Katan,Los Angeles Angels,61,0,2,8,50.1,228,206,62,43,10,0,9,27,26,12,0,56,5,0,5,3,0,0,2,55,21,889,42,48,2,2,50.333333333333336
65609,Mike Aragon,Philadelphia Phillies,62,0,2,5,57.1,227,199,39,29,7,0,3,18,16,21,3,69,4,1,2,2,2,0,3,52,11,846,47,47,5,4,57.333333333333336
53865,Josh Sewall,Philadelphia Phillies,43,0,3,2,55.1,227,200,41,24,7,0,10,24,24,23,2,63,1,0,3,0,0,0,6,46,16,906,47,47,2,3,55.333333333333336
64500,Josh Blanchard,New York Yankees,53,0,8,8,49.2,225,193,49,32,9,2,6,27,27,28,5,51,1,1,2,3,0,0,3,38,11,844,47,48,2,0,49.66666666666668
63930,Salvatore Gutierrez,-,53,0,3,4,52.1,225,194,37,25,6,1,5,23,19,27,4,75,3,1,0,3,0,0,3,11,0,915,33,45,5,1,52.333333333333336
64104,Jim Moeller,Cincinnati Reds,10,10,1,6,48.2,224,187,51,27,11,1,12,42,38,28,0,50,6,0,3,2,0,0,7,0,0,879,40,47,9,1,48.66666666666668
63385,Jon Mell,Seattle Mariners,49,0,2,3,50.2,223,197,50,32,12,1,5,23,23,25,0,57,0,0,1,2,0,0,2,47,16,902,36,54,7,2,50.66666666666668
57632,Chris Owens,Milwaukee Brewers,30,0,1,0,53.0,223,202,47,37,4,1,5,24,21,21,0,45,0,0,0,1,0,0,5,18,3,883,54,53,9,1,53.0
64428,Jeff O'Rourke,Cincinnati Reds,57,0,4,1,55.2,221,201,38,27,8,0,3,13,12,20,2,60,0,0,0,0,0,0,4,5,1,881,49,52,1,1,55.66666666666668
65705,Evan Conway,Arizona Diamondbacks,36,0,1,3,46.0,219,198,62,38,13,2,9,39,38,18,0,50,2,0,1,1,2,0,5,23,6,845,36,47,1,0,46.0
64099,Chris Drake,Philadelphia Phillies,55,0,8,2,55.0,218,194,31,14,6,3,8,20,16,21,3,68,1,0,2,0,0,0,3,12,2,873,39,54,1,1,55.0
59269,Ken Stockton,Texas Rangers,57,0,4,3,54.2,218,206,47,31,10,1,5,17,15,8,2,55,3,1,0,3,0,0,4,15,2,788,42,63,0,0,54.66666666666668
50881,Melaku Chatha,Toronto Blue Jays,10,10,4,2,49.2,217,205,53,30,14,0,9,36,26,10,0,36,0,0,2,0,0,0,2,0,0,805,50,61,8,1,49.66666666666668
60665,Franklin Jinzo,Cleveland Guardians,49,0,2,5,52.0,217,207,59,34,11,1,13,27,25,9,0,51,0,1,0,1,0,0,5,8,2,829,40,57,0,1,52.0
55852,Rob Licausi,Los Angeles Angels,13,0,5,1,47.2,216,186,49,31,9,2,7,27,27,24,0,33,5,0,1,2,1,0,5,0,0,792,40,63,0,1,47.66666666666668
64173,Andy Oliver,Colorado Rockies,42,0,3,5,46.2,216,180,46,33,8,0,5,27,23,32,1,46,2,0,2,3,0,0,5,21,11,829,36,49,2,0,46.66666666666668
44643,Gil Buenaventura,Baltimore Orioles,26,1,4,1,55.1,215,203,44,26,9,2,7,18,17,10,0,49,1,0,1,2,0,0,3,24,2,813,50,60,2,1,55.333333333333336
64112,Josh Gowan,Los Angeles Angels,57,0,2,4,52.2,215,192,41,27,7,2,5,26,25,18,0,69,2,0,3,1,1,0,2,37,9,865,40,44,5,2,52.66666666666668
59971,Jaylen Rankin,Colorado Rockies,34,0,5,2,46.1,214,178,42,32,8,0,2,24,21,34,0,45,1,1,0,2,2,0,7,30,8,845,41,47,4,0,46.333333333333336
62045,Jimmy Knebel,Washington Nationals,32,0,4,1,50.2,212,190,48,24,14,1,9,21,21,19,1,48,3,0,0,1,1,0,9,17,4,792,51,43,4,0,50.66666666666668
56827,Kevin Kyros,Kansas City Royals,26,2,1,3,46.0,211,183,50,35,10,0,5,29,29,24,0,38,3,0,1,2,0,0,2,25,7,786,50,46,5,0,46.0
61123,Mat Wiedmaier,New York Yankees,40,0,6,2,48.1,210,184,49,39,6,1,3,13,13,24,1,42,1,0,1,0,2,0,8,32,16,844,46,45,4,0,48.333333333333336
71242,Pete Sampson,Cincinnati Reds,29,0,1,3,45.2,207,187,55,39,4,0,12,30,27,13,1,33,5,0,2,2,1,0,2,21,8,770,48,53,3,0,45.66666666666668
55961,Tim Stewart,St. Louis Cardinals,45,0,4,1,45.0,207,175,48,32,7,1,8,26,25,29,3,34,0,0,3,1,0,0,5,29,12,770,48,46,5,0,45.0
50754,Jesus Arias,St. Louis Cardinals,28,0,5,1,45.1,204,180,47,24,15,1,7,27,27,23,1,35,0,0,1,0,1,0,2,20,7,742,37,59,6,0,45.333333333333336
53517,Ben Beckstedt,Cleveland Guardians,17,3,2,4,46.0,204,180,46,27,12,1,6,35,34,22,2,47,0,0,2,0,0,0,2,11,6,747,40,47,4,0,46.0
64237,Mike Bednarski,Milwaukee Brewers,46,0,2,5,45.1,204,179,45,22,15,2,6,25,25,18,0,52,7,0,0,4,0,0,2,34,9,783,45,35,2,0,45.333333333333336
43159,Caden Dana,Cleveland Guardians,26,2,2,1,46.0,204,181,49,25,12,0,12,36,32,12,1,35,8,0,3,2,0,0,4,15,6,682,51,46,5,1,46.0
67065,Steven Doiron,Philadelphia Phillies,46,0,2,2,49.2,204,182,36,25,4,1,6,18,18,20,0,48,2,0,0,1,0,0,2,15,1,802,47,51,0,1,49.66666666666668
61417,Joe Burns,Minnesota Twins,51,0,5,6,43.1,202,177,52,35,7,1,9,31,30,22,3,42,3,0,0,3,1,0,5,35,8,754,44,38,6,0,43.333333333333336
67103,Mike Anglum,New York Yankees,58,0,2,4,51.0,201,177,34,21,5,3,5,14,14,18,2,67,2,1,3,0,0,0,4,34,7,814,25,53,3,2,51.0
65595,Steve Gardner,Milwaukee Brewers,50,0,2,5,47.2,201,182,48,30,11,0,7,20,20,15,1,47,2,0,2,2,0,0,4,30,6,766,41,48,5,2,47.66666666666668
65459,Timoteo Minelli,New York Yankees,25,0,3,0,42.1,201,175,57,38,6,3,10,38,30,21,0,42,1,0,4,3,0,0,4,19,7,745,37,38,2,2,42.333333333333336
59018,Jeremy Fishkind,Cleveland Guardians,24,0,3,2,44.0,200,170,43,27,11,2,3,19,18,25,3,41,3,0,2,2,0,0,4,23,7,754,43,42,1,0,44.0
51992,Chaz Lee,Cleveland Guardians,43,0,5,3,46.0,194,174,44,28,13,1,2,17,17,18,6,35,1,0,1,0,0,0,6,21,6,714,41,54,4,1,46.0
64071,Rusty Levy,Washington Nationals,50,0,7,5,49.1,194,178,34,18,8,0,8,20,20,15,0,59,0,1,0,1,0,0,3,24,2,772,41,41,2,3,49.333333333333336
64447,Jonathan Livingston,Boston Red Sox,45,0,2,4,46.1,194,174,43,23,7,3,10,21,21,20,2,55,0,0,0,0,0,0,5,6,3,737,41,35,1,3,46.333333333333336
64518,Sean Morris,Philadelphia Phillies,40,0,3,2,48.0,192,168,30,14,10,1,5,21,18,22,4,35,0,0,2,1,0,0,6,43,8,740,48,53,2,1,48.0
58013,Juan Palacios,Nashville Stars,55,0,0,3,38.2,192,163,52,32,11,1,8,36,33,24,2,40,1,2,2,3,0,0,1,33,7,753,25,49,5,0,38.66666666666668
66484,Tony Garza,San Francisco Giants,47,0,2,6,41.1,188,169,46,27,10,2,7,31,29,16,1,53,2,0,1,1,0,0,3,28,8,758,23,46,0,0,41.333333333333336
62234,Dave Brooks,Houston Astros,29,0,2,0,45.1,186,163,37,28,3,2,4,11,10,18,1,38,3,0,2,0,0,0,7,15,8,729,39,49,7,2,45.333333333333336
62189,Troy Osborn,New York Mets,32,0,2,1,45.0,184,159,31,23,4,1,3,15,15,19,1,33,4,0,2,4,0,0,7,21,9,706,44,51,4,0,45.0
51584,Josh Baker,Baltimore Orioles,37,0,2,2,42.0,183,174,49,33,7,1,8,22,20,8,1,31,1,0,0,1,0,0,2,20,6,657,46,44,1,2,42.0
62326,Jonathan Stiltner,Cleveland Guardians,16,5,1,3,44.0,183,153,30,21,6,0,3,13,13,26,1,37,1,1,2,1,1,0,1,8,1,707,38,50,4,5,44.0
64126,Johnny Williams,Los Angeles Angels,42,0,1,3,38.0,180,152,43,29,9,1,4,28,26,27,0,33,1,0,0,2,0,0,4,21,6,683,40,35,3,0,38.0
57584,Aaron Jackson,-,18,1,0,3,35.2,179,150,44,30,6,0,8,31,27,24,0,34,5,0,0,4,0,0,2,16,8,681,25,46,2,0,35.66666666666668
67204,Dave Coley,New York Mets,29,0,3,6,36.2,178,148,46,30,8,0,8,22,21,24,2,26,5,0,1,1,0,0,7,22,8,652,37,38,5,1,36.66666666666668
61662,Vinny Arevalo,New York Yankees,28,0,1,1,34.0,177,145,53,39,8,0,6,35,34,29,0,27,1,0,2,3,0,0,6,30,16,663,34,32,3,2,34.0
